short_name longitude latitude bio1 bio2 bio3 bio6 bio12 bio14 bio15 bio19 prec4 prec5 prec7 prec9 prec10 pop1
F2-0312 32.06627 3.32345 257 135 74 179 1216 10 55 461 142 153 145 143 141 0.0299128051680561
F2-0313 32.06627 3.32345 257 135 74 179 1216 10 55 461 142 153 145 143 141 0.0299128051680561
F2-0314 32.12154 3.26139 251 134 75 175 1271 11 56 484 147 161 150 149 149 0.0468430109860458
F2-0316 32.12154 3.26139 251 134 75 175 1271 11 56 484 147 161 150 149 149 0.0318664534971708
F2-0317 32.12154 3.26139 251 134 75 175 1271 11 56 484 147 161 150 149 149 0.044889362656931
F2-0318 32.15096 3.47374 255 135 76 181 1214 10 55 472 136 150 153 144 137 0.0099975023547145
F2-0319 32.15096 3.47374 255 135 76 181 1214 10 55 472 136 150 153 144 137 0.0468430109860458
F2-0320 32.15096 3.47374 255 135 76 181 1214 10 55 472 136 150 153 144 137 0.0299128051680561
F2-0321 32.15096 3.47374 255 135 76 181 1214 10 55 472 136 150 153 144 137 0.0300319534080471
F2-0323 32.01816 3.48194 264 137 75 189 1124 8 55 433 126 139 138 137 129 0.0213579332607326
F2-0324 32.01816 3.48194 264 137 75 189 1124 8 55 433 126 139 138 137 129 0.0196726851161329
F2-0325 32.01816 3.48194 264 137 75 189 1124 8 55 433 126 139 138 137 129 0.0417380939861508
F3-0506 32.3544 2.84837 232 127 77 162 1499 15 54 531 165 185 165 180 178 0.00757899611352318
F3-0507 32.3544 2.84837 232 127 77 162 1499 15 54 531 165 185 165 180 178 0.0450085108969221
F3-0508 32.3544 2.84837 232 127 77 162 1499 15 54 531 165 185 165 180 178 0.00259322735361922
F3-0509 32.3544 2.84837 232 127 77 162 1499 15 54 531 165 185 165 180 178 -0.0292665125178081
F3-0510 32.33858 2.81746 233 127 76 162 1498 16 53 526 165 185 163 178 180 0.0417380939861508
F3-0511 32.33858 2.81746 233 127 76 162 1498 16 53 526 165 185 163 178 180 0.0436917423152655
F3-0512 32.33858 2.81746 233 127 76 162 1498 16 53 526 165 185 163 178 180 -0.0395066325697313
F3-0513 32.33858 2.81746 233 127 76 162 1498 16 53 526 165 185 163 178 180 -0.0500505074558904
F3-0514 32.35563 2.8421 232 127 77 162 1499 15 54 531 165 185 165 180 178 0.0299128051680561
F3-0515 32.35563 2.8421 232 127 77 162 1499 15 54 531 165 185 165 180 178 0.0228239537869132
F3-0517 32.35563 2.8421 232 127 77 162 1499 15 54 531 165 185 165 180 178 -0.00764689269830394
F3-0518 32.40484 2.69135 230 126 77 161 1482 18 51 509 165 179 157 175 176 0.0182066645899524
F3-0519 32.40484 2.69135 230 126 77 161 1482 18 51 509 165 179 157 175 176 0.0331832220788274
F3-0520 32.40484 2.69135 230 126 77 161 1482 18 51 509 165 179 157 175 176 0.0555170311333602
F3-0521 32.40484 2.69135 230 126 77 161 1482 18 51 509 165 179 157 175 176 0.0162530162608377
F3-0523 32.41719 2.69807 230 127 77 160 1482 18 51 511 165 180 158 174 175 -0.0767862614658598
F3-0524 32.41719 2.69807 230 127 77 160 1482 18 51 511 165 180 158 174 175 0.00442772744274293
F4-0586 32.47449 2.03819 234 127 79 165 1290 28 43 401 151 154 94 141 164 0.00442772744274293
F4-0587 32.47449 2.03819 234 127 79 165 1290 28 43 401 151 154 94 141 164 0.0300319534080471
F4-0588 32.47449 2.03819 234 127 79 165 1290 28 43 401 151 154 94 141 164 0.00259322735361922
F4-0589 32.47449 2.03819 234 127 79 165 1290 28 43 401 151 154 94 141 164 -0.000242617697208647
F4-0591 32.45554 2.0073 234 127 79 166 1282 28 43 395 153 154 92 140 161 0.0162530162608377
F4-0592 32.45554 2.0073 234 127 79 166 1282 28 43 395 153 154 92 140 161 0.0436917423152655
F4-0593 32.45554 2.0073 234 127 79 166 1282 28 43 395 153 154 92 140 161 0.0418572422261418
F4-0594 32.45554 2.0073 234 127 79 166 1282 28 43 395 153 154 92 140 161 0.0182066645899524
F4-0596 32.45656 2.02553 234 127 79 166 1281 28 43 355 151 153 93 140 162 0.0180875163499613
F4-0597 32.45656 2.02553 234 127 79 166 1281 28 43 355 151 153 93 140 162 0.0318664534971708
F4-0598 32.45656 2.02553 234 127 79 166 1281 28 43 355 151 153 93 140 162 0.00784739629803823
