short_name;longitude;latitude
H4-0871;33.67712;2.28745
H4-0872;33.67712;2.28745
H4-0876;33.52712;2.47919
H5-0626;33.30552;1.73401
H5-0627;33.30552;1.73401
H5-0628;33.30552;1.73401
H5-0629;33.30552;1.73401
H5-0630;33.30552;1.73401
H5-0631;33.27573;1.71953
H5-0632;33.27573;1.71953
H5-0633;33.27573;1.71953
H5-0635;33.27573;1.71953
H5-0636;33.29782;1.726
H5-0637;33.29782;1.726
H5-0638;33.29782;1.726
H5-0639;33.29782;1.726
H5-0640;33.29782;1.726
H5-0643;33.31931;1.75568
H5-0644;33.31931;1.75568
H5-0645;33.31931;1.75568
H6-0026;33.81429;0.88453
H6-0027;33.81429;0.88453
H6-0028;33.81429;0.88453
H6-0806;33.68494;0.83443
H6-0807;33.68494;0.83443
H6-0808;33.68494;0.83443
H6-0809;33.68494;0.83443
H6-0810;33.68494;0.83443
H6-0816;33.73819;0.78147
H6-0818;33.73819;0.78147
H6-0819;33.73819;0.78147
H6-0821;33.73819;0.78147
H7-0053;33.47697;0.71483
H7-0054;33.47697;0.71483
H7-0055;33.47697;0.71483
H7-0056;33.42077;0.65176
H7-0059;33.42077;0.65176
H7-0061;33.5566;0.44152
H7-0065;33.54272;0.39113
H7-0066;33.54272;0.39113
H7-0067;33.54272;0.39113
H7-0074;33.68091;0.52474
H7-0075;33.68091;0.52474
I3-0466;34.12168;2.91843
I3-0467;34.12168;2.91843
I3-0468;34.12168;2.91843
I3-0470;34.10782;2.99759
I3-0471;34.10782;2.99759
I3-0472;34.10782;2.99759
I3-0473;34.10782;2.99759
I3-0474;33.94573;2.99759
I3-0476;33.94573;2.99759
I3-0477;33.94573;2.99759
I3-0478;33.94573;2.99759
I3-0479;33.94573;2.99759
I3-0480;33.94573;2.99759
I3-0481;33.94573;2.99759
I3-0482;33.99299;2.99355
I3-0483;33.99299;2.99355
I3-0485;33.99299;2.99355
I4-0878;33.96431;2.12029
I4-0879;33.96431;2.12029
I4-0880;33.96431;2.12029
I4-0881;33.96431;2.12029
I4-0884;33.97197;2.14746
I4-0885;33.97197;2.14746
I4-0886;33.97197;2.14746
I4-0889;34.28161;2.49981
I4-0890;34.28161;2.49981
I4-0891;34.28161;2.49981
I4-0892;34.28161;2.49981
I4-0893;34.19487;2.51121
I4-0894;34.19487;2.51121
I4-0895;34.19487;2.51121
I4-0897;34.19487;2.51121
I5-0838;33.96589;1.98951
I5-0839;33.96589;1.98951
I5-0840;33.96589;1.98951
I5-0841;33.96589;1.98951
I5-0842;33.96589;1.98951
I5-0843;33.95532;1.91297
I5-0844;33.95532;1.91297
I5-0845;33.95532;1.91297
I5-0846;33.95532;1.91297
I5-0847;33.95532;1.91297
I5-0849;34.04003;1.91401
I5-0850;34.04003;1.91401
I5-0851;34.04003;1.91401
I5-0852;34.04003;1.91401
I5-0853;34.00168;1.53411
I5-0854;34.00168;1.53411
I5-0855;34.00168;1.53411
I6-0021;33.96317;0.94494
I6-0022;33.96317;0.94494
I6-0024;33.96317;0.94494
I6-0822;33.99393;1.03371
I6-0824;33.99393;1.03371
I6-0825;33.99393;1.03371
I6-0826;33.99393;1.03371
I6-0828;33.95186;1.01682
I6-0830;33.95186;1.01682
I6-0831;33.95186;1.01682
I6-0833;33.91879;1.01081
I6-0834;33.91879;1.01081
I6-0835;33.91879;1.01081
I6-0836;33.91879;1.01081
I6-0837;33.91879;1.01081
I7-0011;34.12545;0.59888
I7-0012;34.12545;0.59888
I7-0014;34.20359;0.7337
I7-0015;34.20359;0.7337
I7-0017;34.10406;0.72644
I7-0019;34.10406;0.72644
J3-0938;34.76317;2.68912
J3-0939;34.76317;2.68912
J3-0940;34.76317;2.68912
J3-0941;34.76317;2.68912
J3-0944;34.69012;2.64367
J3-0945;34.69012;2.64367
J3-0946;34.69012;2.64367
J3-0947;34.69012;2.64367
J4-0898;34.59511;2.43656
J4-0899;34.59511;2.43656
J4-0900;34.59511;2.43656
J4-0902;34.59511;2.43656
J4-0903;34.61115;2.35065
J4-0904;34.61115;2.35065
J4-0905;34.61115;2.35065
J4-0906;34.61115;2.35065
J4-0907;34.61115;2.35065
J4-0908;34.72531;2.06323
J4-0909;34.72531;2.06323
J4-0910;34.72531;2.06323
J4-0911;34.72531;2.06323
J4-0913;34.68632;2.04746
J4-0914;34.68632;2.04746
J4-0915;34.68632;2.04746
J4-0917;34.68632;2.04746
J5-0922;34.59608;1.93608
J5-0925;34.62992;1.86651
J5-0926;34.62992;1.86651
J5-0927;34.62992;1.86651
J5-0928;34.60335;1.93438
J5-0929;34.60335;1.93438
J5-0931;34.60335;1.93438
J5-0933;34.61116;1.75673
J5-0935;34.61116;1.75673
J5-0936;34.61116;1.75673
J5-0937;34.61116;1.75673
H2-0430;33.47214;3.39326
H3-0461;33.73854;2.81939
H4-0861;33.78317;2.36653
H5-0642;33.31931;1.75568
I4-0896;34.19487;2.51121
I5-0856;34.00168;1.53411
I6-0829;33.95186;1.01682
I7-0013;34.20359;0.7337
D6-0708;31.23101;1.00349
D7-0758;30.98114;0.41556
D6-0709;31.23101;1.00349
D6-0710;31.23101;1.00349
D6-0711;31.19887;1.13075
D6-0712;31.19887;1.13075
D6-0713;31.19887;1.13075
D6-0715;31.19887;1.13075
D7-0746;31.35435;0.55483
D7-0747;31.35435;0.55483
D7-0748;31.35435;0.55483
D7-0749;31.35435;0.55483
D7-0751;31.36136;0.55843
D7-0752;31.36136;0.55843
D7-0753;31.36136;0.55843
D7-0754;31.36136;0.55843
D7-0755;31.36136;0.55843
D7-0756;30.98114;0.41556
D7-0760;30.98114;0.41556
D7-0761;31.03319;0.5978
D7-0762;31.03319;0.5978
D7-0763;31.03319;0.5978
E2-0326;31.97253;3.39225
E2-0327;31.97253;3.39225
E2-0329;31.97253;3.39225
E2-0330;31.95121;3.38618
E2-0331;31.95121;3.38618
E2-0332;31.95121;3.38618
E2-0333;31.95121;3.38618
